     1.006192    0.026467
     1.001473    0.028451
     0.993854    0.031335
     0.985518    0.034142
     0.976447    0.036886
     0.966651    0.039559
     0.956132    0.042164
     0.944883    0.044712
     0.932942    0.047222
     0.920396    0.049705
     0.907357    0.052157
     0.893934    0.054586
     0.880210    0.056997
     0.866270    0.059386
     0.852211    0.061749
     0.838131    0.064076
     0.824090    0.066352
     0.810092    0.068571
     0.796094    0.070733
     0.782052    0.072851
     0.768024    0.074928
     0.754177    0.076953
     0.740761    0.078891
     0.728068    0.080637
     0.716386    0.082083
     0.705828    0.083316
     0.696003    0.084829
     0.686107    0.086854
     0.675436    0.089223
     0.663691    0.091662
     0.651037    0.094075
     0.637805    0.096435
     0.624308    0.098746
     0.610729    0.101015
     0.597166    0.103209
     0.583672    0.105305
     0.570261    0.107283
     0.556910    0.109132
     0.543577    0.110853
     0.530229    0.112453
     0.516850    0.113933
     0.503439    0.115294
     0.490009    0.116536
     0.476582    0.117655
     0.463176    0.118645
     0.449799    0.119505
     0.436455    0.120230
     0.423139    0.120821
     0.409847    0.121274
     0.396575    0.121589
     0.383327    0.121763
     0.370105    0.121796
     0.356919    0.121684
     0.343775    0.121426
     0.330678    0.121018
     0.317627    0.120458
     0.304628    0.119745
     0.291687    0.118874
     0.278811    0.117845
     0.266006    0.116653
     0.253278    0.115297
     0.240635    0.113774
     0.228089    0.112081
     0.215652    0.110218
     0.203336    0.108180
     0.191157    0.105966
     0.179133    0.103575
     0.167281    0.101002
     0.155614    0.098245
     0.144144    0.095301
     0.132889    0.092172
     0.121874    0.088864
     0.111134    0.085390
     0.100723    0.081774
     0.090715    0.078052
     0.081204    0.074272
     0.072286    0.070489
     0.064044    0.066751
     0.056524    0.063094
     0.049733    0.059536
     0.043642    0.056082
     0.038203    0.052728
     0.033356    0.049467
     0.029042    0.046293
     0.025208    0.043205
     0.021803    0.040202
     0.018779    0.037287
     0.016095    0.034460
     0.013712    0.031722
     0.011599    0.029078
     0.009731    0.026534
     0.008083    0.024094
     0.006634    0.021755
     0.005361    0.019510
     0.004244    0.017348
     0.003266    0.015260
     0.002422    0.013240
     0.001707    0.011295
     0.001117    0.009429
     0.000649    0.007650
     0.000305    0.005954
     0.000088    0.004323
     0.000001    0.002732
     0.000052    0.001155
     0.000264   -0.000414
     0.000672   -0.001962
     0.001323   -0.003464
     0.002241   -0.004891
     0.003405   -0.006220
     0.004788   -0.007429
     0.006372   -0.008509
     0.008153   -0.009481
     0.010124   -0.010377
     0.012278   -0.011222
     0.014631   -0.012025
     0.017206   -0.012798
     0.020031   -0.013556
     0.023144   -0.014304
     0.026595   -0.015047
     0.030439   -0.015794
     0.034744   -0.016542
     0.039591   -0.017290
     0.045078   -0.018034
     0.051317   -0.018765
     0.058421   -0.019472
     0.066490   -0.020141
     0.075589   -0.020755
     0.085731   -0.021301
     0.096844   -0.021768
     0.108780   -0.022146
     0.121357   -0.022433
     0.134389   -0.022626
     0.147719   -0.022723
     0.161241   -0.022722
     0.174885   -0.022625
     0.188605   -0.022432
     0.202369   -0.022145
     0.216156   -0.021764
     0.229950   -0.021289
     0.243744   -0.020720
     0.257534   -0.020056
     0.271323   -0.019295
     0.285120   -0.018436
     0.298938   -0.017480
     0.312791   -0.016429
     0.326693   -0.015285
     0.340658   -0.014054
     0.354689   -0.012743
     0.368789   -0.011357
     0.382958   -0.009905
     0.397199   -0.008393
     0.411512   -0.006827
     0.425894   -0.005216
     0.440343   -0.003568
     0.454854   -0.001889
     0.469419   -0.000187
     0.484022    0.001529
     0.498645    0.003250
     0.513265    0.004966
     0.527853    0.006668
     0.542386    0.008342
     0.556836    0.009980
     0.571180    0.011571
     0.585401    0.013109
     0.599507    0.014594
     0.613534    0.016030
     0.627546    0.017423
     0.641631    0.018777
     0.655788    0.020073
     0.669771    0.021264
     0.683142    0.022297
     0.695478    0.023145
     0.706664    0.023992
     0.717158    0.025152
     0.727508    0.026597
     0.738087    0.028247
     0.749165    0.030006
     0.760898    0.031729
     0.773258    0.033311
     0.786101    0.034742
     0.799241    0.036031
     0.812476    0.037199
     0.825632    0.038254
     0.838597    0.039163
     0.851331    0.039898
     0.863845    0.040439
     0.876180    0.040776
     0.888352    0.040904
     0.900344    0.040817
     0.912116    0.040512
     0.923618    0.039981
     0.934808    0.039219
     0.945654    0.038225
     0.956123    0.037001
     0.966175    0.035554
     0.975764    0.033898
     0.984841    0.032054
     0.993357    0.030054
     1.001267    0.027931
     1.006192    0.026467
